periode,kecamatan,jumlah_penduduk,kasus,kasus_meninggal
2/2018,Semarang Barat,"159.018,0","0,0","0,0"
3/2018,Semarang Barat,"159.018,0","0,0","0,0"
4/2018,Semarang Barat,"159.018,0","0,0","0,0"
5/2018,Semarang Barat,"159.018,0","1,0","0,0"
6/2018,Semarang Barat,"159.018,0","0,0","0,0"
7/2018,Semarang Barat,"159.018,0","0,0","0,0"
8/2018,Semarang Barat,"159.018,0","0,0","0,0"
9/2018,Semarang Barat,"159.018,0","1,0","0,0"
10/2018,Semarang Barat,"159.018,0","0,0","0,0"
11/2018,Semarang Barat,"159.018,0","0,0","0,0"
12/2018,Semarang Barat,"159.018,0","1,0","0,0"
1/2018,Semarang Selatan,"69.375,0","0,0","0,0"
2/2018,Semarang Selatan,"69.375,0","0,0","0,0"
3/2018,Semarang Selatan,"69.375,0","0,0","0,0"
4/2018,Semarang Selatan,"69.375,0","0,0","0,0"
5/2018,Semarang Selatan,"69.375,0","1,0","0,0"
6/2018,Semarang Selatan,"69.375,0","0,0","0,0"
7/2018,Semarang Selatan,"69.375,0","0,0","0,0"
8/2018,Semarang Selatan,"69.375,0","0,0","0,0"
9/2018,Semarang Selatan,"69.375,0","0,0","0,0"
10/2018,Semarang Selatan,"69.375,0","0,0","0,0"
11/2018,Semarang Selatan,"69.375,0","0,0","0,0"
12/2018,Semarang Selatan,"69.375,0","0,0","0,0"
1/2018,Semarang Tengah,"61.073,0","0,0","0,0"
2/2018,Semarang Tengah,"61.073,0","0,0","0,0"
3/2018,Semarang Tengah,"61.073,0","0,0","0,0"
4/2018,Semarang Tengah,"61.073,0","0,0","0,0"
5/2018,Semarang Tengah,"61.073,0","1,0","0,0"
6/2018,Semarang Tengah,"61.073,0","0,0","0,0"
7/2018,Semarang Tengah,"61.073,0","0,0","0,0"
8/2018,Semarang Tengah,"61.073,0","0,0","0,0"
9/2018,Semarang Tengah,"61.073,0","0,0","0,0"
10/2018,Semarang Tengah,"61.073,0","0,0","0,0"
11/2018,Semarang Tengah,"61.073,0","0,0","0,0"
12/2018,Semarang Tengah,"61.073,0","1,0","0,0"
1/2018,Semarang Timur,"73.491,0","0,0","0,0"
2/2018,Semarang Timur,"73.491,0","0,0","0,0"
3/2018,Semarang Timur,"73.491,0","1,0","0,0"
4/2018,Semarang Timur,"73.491,0","0,0","0,0"
5/2018,Semarang Timur,"73.491,0","1,0","0,0"
6/2018,Semarang Timur,"73.491,0","0,0","0,0"
7/2018,Semarang Timur,"73.491,0","1,0","0,0"
8/2018,Semarang Timur,"73.491,0","0,0","0,0"
9/2018,Semarang Timur,"73.491,0","0,0","0,0"
10/2018,Semarang Timur,"73.491,0","0,0","0,0"
11/2018,Semarang Timur,"73.491,0","0,0","0,0"
12/2018,Semarang Timur,"73.491,0","0,0","0,0"
1/2018,Semarang Utara,"125.795,0","0,0","0,0"
2/2018,Semarang Utara,"125.795,0","0,0","0,0"
3/2018,Semarang Utara,"125.795,0","0,0","0,0"
4/2018,Semarang Utara,"125.795,0","0,0","0,0"
5/2018,Semarang Utara,"125.795,0","0,0","0,0"
6/2018,Semarang Utara,"125.795,0","0,0","0,0"
7/2018,Semarang Utara,"125.795,0","1,0","0,0"
8/2018,Semarang Utara,"125.795,0","0,0","0,0"
9/2018,Semarang Utara,"125.795,0","0,0","0,0"
10/2018,Semarang Utara,"125.795,0","0,0","0,0"
11/2018,Semarang Utara,"125.795,0","0,0","0,0"
12/2018,Semarang Utara,"125.795,0","1,0","0,0"
1/2018,Tembalang,"178.830,0","1,0","0,0"
2/2018,Tembalang,"178.830,0","1,0","0,0"
3/2018,Tembalang,"178.830,0","3,0","1,0"
4/2018,Tembalang,"178.830,0","0,0","0,0"
5/2018,Tembalang,"178.830,0","1,0","0,0"
6/2018,Tembalang,"178.830,0","1,0","0,0"
7/2018,Tembalang,"178.830,0","2,0","0,0"
8/2018,Tembalang,"178.830,0","0,0","0,0"
9/2018,Tembalang,"178.830,0","0,0","0,0"
10/2018,Tembalang,"178.830,0","1,0","0,0"
11/2018,Tembalang,"178.830,0","0,0","0,0"
12/2018,Tembalang,"178.830,0","3,0","0,0"
1/2018,Tugu,"33.466,0","0,0","0,0"
2/2018,Tugu,"33.466,0","0,0","0,0"
3/2018,Tugu,"33.466,0","0,0","0,0"
4/2018,Tugu,"33.466,0","1,0","0,0"
5/2018,Tugu,"33.466,0","0,0","0,0"
6/2018,Tugu,"33.466,0","0,0","0,0"
7/2018,Tugu,"33.466,0","0,0","0,0"
8/2018,Tugu,"33.466,0","0,0","0,0"
9/2018,Tugu,"33.466,0","0,0","0,0"
10/2018,Tugu,"33.466,0","0,0","0,0"
11/2018,Tugu,"33.466,0","0,0","0,0"
12/2018,Tugu,"33.466,0","0,0","0,0"
1/2019,Banyumanik,"139.927,0","8,0","0,0"
2/2019,Banyumanik,"139.927,0","10,0","1,0"
3/2019,Banyumanik,"139.927,0","6,0","0,0"
4/2019,Banyumanik,"139.927,0","4,0","0,0"
5/2019,Banyumanik,"139.927,0","9,0","0,0"
6/2019,Banyumanik,"139.927,0","3,0","0,0"
7/2019,Banyumanik,"139.927,0","0,0","0,0"
8/2019,Banyumanik,"139.927,0","1,0","0,0"
9/2019,Banyumanik,"139.927,0","0,0","0,0"
10/2019,Banyumanik,"139.927,0","0,0","0,0"
11/2019,Banyumanik,"139.927,0","0,0","0,0"
12/2019,Banyumanik,"139.927,0","1,0","0,0"
1/2019,Candisari,"80.490,0","7,0","0,0"
2/2019,Candisari,"80.490,0","8,0","1,0"
3/2019,Candisari,"80.490,0","6,0","2,0"
4/2019,Candisari,"80.490,0","14,0","0,0"
5/2019,Candisari,"80.490,0","0,0","0,0"
6/2019,Candisari,"80.490,0","1,0","0,0"
7/2019,Candisari,"80.490,0","0,0","0,0"
8/2019,Candisari,"80.490,0","0,0","0,0"
9/2019,Candisari,"80.490,0","0,0","0,0"
10/2019,Candisari,"80.490,0","0,0","0,0"
11/2019,Candisari,"80.490,0","0,0","0,0"
12/2019,Candisari,"80.490,0","0,0","0,0"
1/2019,Gajah Mungkur,"60.146,0","7,0","0,0"
2/2019,Gajah Mungkur,"60.146,0","2,0","0,0"
3/2019,Gajah Mungkur,"60.146,0","1,0","0,0"
4/2019,Gajah Mungkur,"60.146,0","1,0","0,0"
5/2019,Gajah Mungkur,"60.146,0","2,0","0,0"
6/2019,Gajah Mungkur,"60.146,0","1,0","0,0"
7/2019,Gajah Mungkur,"60.146,0","0,0","0,0"
8/2019,Gajah Mungkur,"60.146,0","3,0","1,0"
9/2019,Gajah Mungkur,"60.146,0","0,0","0,0"
10/2019,Gajah Mungkur,"60.146,0","0,0","0,0"
11/2019,Gajah Mungkur,"60.146,0","0,0","0,0"
12/2019,Gajah Mungkur,"60.146,0","0,0","0,0"
1/2019,Gayamsari,"73.954,0","2,0","0,0"
2/2019,Gayamsari,"73.954,0","1,0","0,0"
3/2019,Gayamsari,"73.954,0","6,0","0,0"
4/2019,Gayamsari,"73.954,0","0,0","0,0"
5/2019,Gayamsari,"73.954,0","2,0","0,0"
6/2019,Gayamsari,"73.954,0","0,0","0,0"
7/2019,Gayamsari,"73.954,0","0,0","0,0"
8/2019,Gayamsari,"73.954,0","0,0","0,0"
9/2019,Gayamsari,"73.954,0","0,0","0,0"
10/2019,Gayamsari,"73.954,0","0,0","0,0"
11/2019,Gayamsari,"73.954,0","0,0","0,0"
12/2019,Gayamsari,"73.954,0","0,0","0,0"
1/2019,Genuk,"114.252,0","1,0","0,0"
2/2019,Genuk,"114.252,0","3,0","0,0"
3/2019,Genuk,"114.252,0","3,0","0,0"
4/2019,Genuk,"114.252,0","4,0","0,0"
5/2019,Genuk,"114.252,0","6,0","0,0"
6/2019,Genuk,"114.252,0","0,0","0,0"
7/2019,Genuk,"114.252,0","0,0","0,0"
8/2019,Genuk,"114.252,0","0,0","0,0"
9/2019,Genuk,"114.252,0","0,0","0,0"
10/2019,Genuk,"114.252,0","0,0","0,0"
11/2019,Genuk,"114.252,0","0,0","0,0"
12/2019,Genuk,"114.252,0","0,0","0,0"
1/2019,Gunungpati,"93.866,0","3,0","0,0"
2/2019,Gunungpati,"93.866,0","2,0","0,0"
3/2019,Gunungpati,"93.866,0","3,0","0,0"
4/2019,Gunungpati,"93.866,0","1,0","0,0"
5/2019,Gunungpati,"93.866,0","3,0","0,0"
6/2019,Gunungpati,"93.866,0","2,0","0,0"
7/2019,Gunungpati,"93.866,0","0,0","0,0"
8/2019,Gunungpati,"93.866,0","1,0","0,0"
9/2019,Gunungpati,"93.866,0","0,0","0,0"
10/2019,Gunungpati,"93.866,0","1,0","0,0"
11/2019,Gunungpati,"93.866,0","4,0","0,0"
12/2019,Gunungpati,"93.866,0","2,0","0,0"
1/2019,Mijen,"73.479,0","0,0","0,0"
2/2019,Mijen,"73.479,0","3,0","0,0"
3/2019,Mijen,"73.479,0","4,0","1,0"
4/2019,Mijen,"73.479,0","2,0","0,0"
5/2019,Mijen,"73.479,0","1,0","0,0"
6/2019,Mijen,"73.479,0","3,0","0,0"
7/2019,Mijen,"73.479,0","1,0","1,0"
8/2019,Mijen,"73.479,0","0,0","0,0"
9/2019,Mijen,"73.479,0","0,0","0,0"
10/2019,Mijen,"73.479,0","0,0","0,0"
11/2019,Mijen,"73.479,0","1,0","1,0"
12/2019,Mijen,"73.479,0","1,0","0,0"
1/2019,Ngaliyan,"138.618,0","7,0","0,0"
2/2019,Ngaliyan,"138.618,0","5,0","1,0"
3/2019,Ngaliyan,"138.618,0","11,0","0,0"
4/2019,Ngaliyan,"138.618,0","4,0","1,0"
5/2019,Ngaliyan,"138.618,0","2,0","0,0"
6/2019,Ngaliyan,"138.618,0","4,0","0,0"
7/2019,Ngaliyan,"138.618,0","1,0","0,0"
8/2019,Ngaliyan,"138.618,0","0,0","0,0"
9/2019,Ngaliyan,"138.618,0","0,0","0,0"
10/2019,Ngaliyan,"138.618,0","0,0","0,0"
11/2019,Ngaliyan,"138.618,0","0,0","0,0"
12/2019,Ngaliyan,"138.618,0","0,0","0,0"
1/2019,Pedurungan,"192.798,0","9,0","0,0"
2/2019,Pedurungan,"192.798,0","9,0","0,0"
3/2019,Pedurungan,"192.798,0","8,0","0,0"
4/2019,Pedurungan,"192.798,0","13,0","0,0"
5/2019,Pedurungan,"192.798,0","8,0","0,0"
6/2019,Pedurungan,"192.798,0","2,0","0,0"
7/2019,Pedurungan,"192.798,0","0,0","0,0"
8/2019,Pedurungan,"192.798,0","0,0","0,0"
9/2019,Pedurungan,"192.798,0","1,0","0,0"
10/2019,Pedurungan,"192.798,0","0,0","0,0"
11/2019,Pedurungan,"192.798,0","0,0","0,0"
12/2019,Pedurungan,"192.798,0","1,0","0,0"
1/2019,Semarang Barat,"159.018,0","0,0","0,0"
2/2019,Semarang Barat,"159.018,0","4,0","0,0"
3/2019,Semarang Barat,"159.018,0","5,0","0,0"
4/2019,Semarang Barat,"159.018,0","5,0","1,0"
5/2019,Semarang Barat,"159.018,0","2,0","0,0"
6/2019,Semarang Barat,"159.018,0","2,0","1,0"
7/2019,Semarang Barat,"159.018,0","0,0","0,0"
8/2019,Semarang Barat,"159.018,0","0,0","0,0"
9/2019,Semarang Barat,"159.018,0","0,0","0,0"
10/2019,Semarang Barat,"159.018,0","1,0","0,0"
11/2019,Semarang Barat,"159.018,0","0,0","0,0"
12/2019,Semarang Barat,"159.018,0","1,0","0,0"
1/2019,Semarang Selatan,"69.375,0","0,0","0,0"
2/2019,Semarang Selatan,"69.375,0","4,0","0,0"
3/2019,Semarang Selatan,"69.375,0","5,0","0,0"
4/2019,Semarang Selatan,"69.375,0","5,0","0,0"
5/2019,Semarang Selatan,"69.375,0","3,0","0,0"
6/2019,Semarang Selatan,"69.375,0","0,0","0,0"
7/2019,Semarang Selatan,"69.375,0","1,0","0,0"
8/2019,Semarang Selatan,"69.375,0","1,0","0,0"
9/2019,Semarang Selatan,"69.375,0","0,0","0,0"
10/2019,Semarang Selatan,"69.375,0","0,0","0,0"
11/2019,Semarang Selatan,"69.375,0","0,0","0,0"
12/2019,Semarang Selatan,"69.375,0","1,0","0,0"
1/2019,Semarang Tengah,"61.073,0","1,0","0,0"
2/2019,Semarang Tengah,"61.073,0","2,0","1,0"
3/2019,Semarang Tengah,"61.073,0","1,0","0,0"
4/2019,Semarang Tengah,"61.073,0","1,0","0,0"
5/2019,Semarang Tengah,"61.073,0","1,0","0,0"
6/2019,Semarang Tengah,"61.073,0","0,0","0,0"
7/2019,Semarang Tengah,"61.073,0","0,0","0,0"
8/2019,Semarang Tengah,"61.073,0","0,0","0,0"
9/2019,Semarang Tengah,"61.073,0","0,0","0,0"
10/2019,Semarang Tengah,"61.073,0","0,0","0,0"
11/2019,Semarang Tengah,"61.073,0","0,0","0,0"
12/2019,Semarang Tengah,"61.073,0","0,0","0,0"
1/2019,Semarang Timur,"73.491,0","2,0","0,0"
2/2019,Semarang Timur,"73.491,0","1,0","0,0"
3/2019,Semarang Timur,"73.491,0","1,0","0,0"
4/2019,Semarang Timur,"73.491,0","0,0","0,0"
5/2019,Semarang Timur,"73.491,0","3,0","0,0"
6/2019,Semarang Timur,"73.491,0","0,0","0,0"
7/2019,Semarang Timur,"73.491,0","0,0","0,0"
8/2019,Semarang Timur,"73.491,0","0,0","0,0"
9/2019,Semarang Timur,"73.491,0","0,0","0,0"
10/2019,Semarang Timur,"73.491,0","0,0","0,0"
11/2019,Semarang Timur,"73.491,0","0,0","0,0"
12/2019,Semarang Timur,"73.491,0","0,0","0,0"
1/2019,Semarang Utara,"125.795,0","2,0","0,0"
2/2019,Semarang Utara,"125.795,0","2,0","0,0"
3/2019,Semarang Utara,"125.795,0","4,0","1,0"
4/2019,Semarang Utara,"125.795,0","4,0","0,0"
5/2019,Semarang Utara,"125.795,0","5,0","0,0"
6/2019,Semarang Utara,"125.795,0","0,0","0,0"
7/2019,Semarang Utara,"125.795,0","0,0","0,0"
8/2019,Semarang Utara,"125.795,0","0,0","0,0"
9/2019,Semarang Utara,"125.795,0","0,0","0,0"
10/2019,Semarang Utara,"125.795,0","0,0","0,0"
11/2019,Semarang Utara,"125.795,0","0,0","0,0"
12/2019,Semarang Utara,"125.795,0","0,0","0,0"
1/2019,Tembalang,"178.830,0","10,0","0,0"
2/2019,Tembalang,"178.830,0","24,0","0,0"
3/2019,Tembalang,"178.830,0","23,0","0,0"
4/2019,Tembalang,"178.830,0","22,0","0,0"
5/2019,Tembalang,"178.830,0","20,0","0,0"
6/2019,Tembalang,"178.830,0","13,0","0,0"
7/2019,Tembalang,"178.830,0","5,0","0,0"
8/2019,Tembalang,"178.830,0","4,0","0,0"
9/2019,Tembalang,"178.830,0","1,0","0,0"
10/2019,Tembalang,"178.830,0","0,0","0,0"
11/2019,Tembalang,"178.830,0","0,0","0,0"
12/2019,Tembalang,"178.830,0","0,0","0,0"
1/2019,Tugu,"33.466,0","1,0","0,0"
2/2019,Tugu,"33.466,0","0,0","0,0"
3/2019,Tugu,"33.466,0","1,0","0,0"
4/2019,Tugu,"33.466,0","0,0","0,0"
5/2019,Tugu,"33.466,0","0,0","0,0"
6/2019,Tugu,"33.466,0","0,0","0,0"
7/2019,Tugu,"33.466,0","0,0","0,0"
8/2019,Tugu,"33.466,0","0,0","0,0"
9/2019,Tugu,"33.466,0","0,0","0,0"
10/2019,Tugu,"33.466,0","1,0","0,0"
11/2019,Tugu,"33.466,0","0,0","0,0"
12/2019,Tugu,"33.466,0","0,0","0,0"
1/2020,Banyumanik,"139.846,0","1,0","0,0"
2/2020,Banyumanik,"139.846,0","3,0","0,0"
3/2020,Banyumanik,"139.846,0","2,0","0,0"
4/2020,Banyumanik,"139.846,0","7,0","0,0"
5/2020,Banyumanik,"139.846,0","3,0","0,0"
6/2020,Banyumanik,"139.846,0","3,0","0,0"
7/2020,Banyumanik,"139.846,0","2,0","0,0"
8/2020,Banyumanik,"139.846,0","1,0","0,0"
9/2020,Banyumanik,"139.846,0","0,0","0,0"
10/2020,Banyumanik,"139.846,0","1,0","0,0"
11/2020,Banyumanik,"139.846,0","1,0","0,0"
12/2020,Banyumanik,"139.846,0","0,0","0,0"
1/2020,Candisari,"80.625,0","0,0","0,0"
2/2020,Candisari,"80.625,0","4,0","1,0"
3/2020,Candisari,"80.625,0","5,0","0,0"
4/2020,Candisari,"80.625,0","2,0","0,0"
5/2020,Candisari,"80.625,0","2,0","0,0"
6/2020,Candisari,"80.625,0","1,0","0,0"
7/2020,Candisari,"80.625,0","0,0","0,0"
8/2020,Candisari,"80.625,0","0,0","0,0"
9/2020,Candisari,"80.625,0","0,0","0,0"
10/2020,Candisari,"80.625,0","0,0","0,0"
11/2020,Candisari,"80.625,0","1,0","0,0"
12/2020,Candisari,"80.625,0","0,0","0,0"
1/2020,Gajah Mungkur,"60.243,0","1,0","0,0"
2/2020,Gajah Mungkur,"60.243,0","2,0","0,0"
3/2020,Gajah Mungkur,"60.243,0","2,0","0,0"
4/2020,Gajah Mungkur,"60.243,0","1,0","0,0"
5/2020,Gajah Mungkur,"60.243,0","1,0","0,0"
6/2020,Gajah Mungkur,"60.243,0","0,0","0,0"
7/2020,Gajah Mungkur,"60.243,0","0,0","0,0"
8/2020,Gajah Mungkur,"60.243,0","1,0","0,0"
9/2020,Gajah Mungkur,"60.243,0","0,0","0,0"
10/2020,Gajah Mungkur,"60.243,0","1,0","0,0"
11/2020,Gajah Mungkur,"60.243,0","0,0","0,0"
12/2020,Gajah Mungkur,"60.243,0","0,0","0,0"
1/2020,Gayamsari,"74.109,0","1,0","0,0"
2/2020,Gayamsari,"74.109,0","3,0","0,0"
3/2020,Gayamsari,"74.109,0","2,0","0,0"
4/2020,Gayamsari,"74.109,0","1,0","0,0"
5/2020,Gayamsari,"74.109,0","2,0","0,0"
6/2020,Gayamsari,"74.109,0","1,0","0,0"
7/2020,Gayamsari,"74.109,0","1,0","0,0"
8/2020,Gayamsari,"74.109,0","1,0","0,0"
9/2020,Gayamsari,"74.109,0","1,0","0,0"
10/2020,Gayamsari,"74.109,0","0,0","0,0"
11/2020,Gayamsari,"74.109,0","0,0","0,0"
12/2020,Gayamsari,"74.109,0","0,0","0,0"
1/2020,Genuk,"114.303,0","1,0","0,0"
2/2020,Genuk,"114.303,0","1,0","0,0"
3/2020,Genuk,"114.303,0","3,0","0,0"
4/2020,Genuk,"114.303,0","2,0","0,0"
5/2020,Genuk,"114.303,0","0,0","0,0"
6/2020,Genuk,"114.303,0","1,0","0,0"
7/2020,Genuk,"114.303,0","0,0","0,0"
8/2020,Genuk,"114.303,0","0,0","0,0"
9/2020,Genuk,"114.303,0","0,0","0,0"
10/2020,Genuk,"114.303,0","1,0","0,0"
11/2020,Genuk,"114.303,0","1,0","0,0"
12/2020,Genuk,"114.303,0","1,0","0,0"
1/2020,Gunungpati,"94.065,0","6,0","0,0"
2/2020,Gunungpati,"94.065,0","4,0","0,0"
3/2020,Gunungpati,"94.065,0","5,0","0,0"
4/2020,Gunungpati,"94.065,0","0,0","0,0"
5/2020,Gunungpati,"94.065,0","1,0","0,0"
6/2020,Gunungpati,"94.065,0","0,0","0,0"
7/2020,Gunungpati,"94.065,0","0,0","0,0"
8/2020,Gunungpati,"94.065,0","0,0","0,0"
9/2020,Gunungpati,"94.065,0","0,0","0,0"
10/2020,Gunungpati,"94.065,0","0,0","0,0"
11/2020,Gunungpati,"94.065,0","2,0","0,0"
12/2020,Gunungpati,"94.065,0","1,0","0,0"
1/2020,Mijen,"73.728,0","6,0","1,0"
2/2020,Mijen,"73.728,0","11,0","0,0"
3/2020,Mijen,"73.728,0","8,0","0,0"
4/2020,Mijen,"73.728,0","4,0","0,0"
5/2020,Mijen,"73.728,0","2,0","0,0"
6/2020,Mijen,"73.728,0","1,0","0,0"
7/2020,Mijen,"73.728,0","0,0","0,0"
8/2020,Mijen,"73.728,0","1,0","0,0"
9/2020,Mijen,"73.728,0","1,0","0,0"
10/2020,Mijen,"73.728,0","0,0","0,0"
11/2020,Mijen,"73.728,0","0,0","0,0"
12/2020,Mijen,"73.728,0","1,0","0,0"
1/2020,Ngaliyan,"138.525,0","1,0","0,0"
2/2020,Ngaliyan,"138.525,0","5,0","0,0"
3/2020,Ngaliyan,"138.525,0","4,0","0,0"
4/2020,Ngaliyan,"138.525,0","3,0","0,0"
5/2020,Ngaliyan,"138.525,0","1,0","0,0"
6/2020,Ngaliyan,"138.525,0","5,0","0,0"
7/2020,Ngaliyan,"138.525,0","1,0","0,0"
8/2020,Ngaliyan,"138.525,0","2,0","0,0"
9/2020,Ngaliyan,"138.525,0","0,0","0,0"
10/2020,Ngaliyan,"138.525,0","4,0","0,0"
11/2020,Ngaliyan,"138.525,0","0,0","0,0"
12/2020,Ngaliyan,"138.525,0","1,0","0,0"
1/2020,Pedurungan,"192.653,0","1,0","0,0"
2/2020,Pedurungan,"192.653,0","5,0","0,0"
3/2020,Pedurungan,"192.653,0","7,0","0,0"
4/2020,Pedurungan,"192.653,0","7,0","0,0"
5/2020,Pedurungan,"192.653,0","4,0","0,0"
6/2020,Pedurungan,"192.653,0","3,0","0,0"
7/2020,Pedurungan,"192.653,0","1,0","0,0"
8/2020,Pedurungan,"192.653,0","0,0","0,0"
9/2020,Pedurungan,"192.653,0","0,0","0,0"
10/2020,Pedurungan,"192.653,0","1,0","0,0"
11/2020,Pedurungan,"192.653,0","2,0","0,0"
12/2020,Pedurungan,"192.653,0","2,0","0,0"
1/2020,Semarang Barat,"159.222,0","2,0","0,0"
2/2020,Semarang Barat,"159.222,0","5,0","0,0"
3/2020,Semarang Barat,"159.222,0","6,0","0,0"
4/2020,Semarang Barat,"159.222,0","4,0","0,0"
5/2020,Semarang Barat,"159.222,0","4,0","0,0"
6/2020,Semarang Barat,"159.222,0","2,0","0,0"
7/2020,Semarang Barat,"159.222,0","0,0","0,0"
8/2020,Semarang Barat,"159.222,0","1,0","0,0"
9/2020,Semarang Barat,"159.222,0","2,0","0,0"
10/2020,Semarang Barat,"159.222,0","0,0","0,0"
11/2020,Semarang Barat,"159.222,0","1,0","0,0"
12/2020,Semarang Barat,"159.222,0","1,0","0,0"
1/2020,Semarang Selatan,"69.530,0","0,0","0,0"
2/2020,Semarang Selatan,"69.530,0","3,0","0,0"
3/2020,Semarang Selatan,"69.530,0","0,0","0,0"
4/2020,Semarang Selatan,"69.530,0","1,0","1,0"
5/2020,Semarang Selatan,"69.530,0","0,0","0,0"
6/2020,Semarang Selatan,"69.530,0","1,0","0,0"
7/2020,Semarang Selatan,"69.530,0","0,0","0,0"
8/2020,Semarang Selatan,"69.530,0","0,0","0,0"
9/2020,Semarang Selatan,"69.530,0","0,0","0,0"
10/2020,Semarang Selatan,"69.530,0","0,0","0,0"
11/2020,Semarang Selatan,"69.530,0","0,0","0,0"
12/2020,Semarang Selatan,"69.530,0","1,0","0,0"
1/2020,Semarang Tengah,"61.288,0","0,0","0,0"
2/2020,Semarang Tengah,"61.288,0","3,0","0,0"
3/2020,Semarang Tengah,"61.288,0","0,0","0,0"
4/2020,Semarang Tengah,"61.288,0","5,0","0,0"
5/2020,Semarang Tengah,"61.288,0","1,0","0,0"
6/2020,Semarang Tengah,"61.288,0","0,0","0,0"
7/2020,Semarang Tengah,"61.288,0","0,0","0,0"
8/2020,Semarang Tengah,"61.288,0","0,0","0,0"
9/2020,Semarang Tengah,"61.288,0","0,0","0,0"
10/2020,Semarang Tengah,"61.288,0","0,0","0,0"
11/2020,Semarang Tengah,"61.288,0","0,0","0,0"
12/2020,Semarang Tengah,"61.288,0","0,0","0,0"
1/2020,Semarang Timur,"73.546,0","0,0","0,0"
2/2020,Semarang Timur,"73.546,0","0,0","0,0"
3/2020,Semarang Timur,"73.546,0","2,0","0,0"
4/2020,Semarang Timur,"73.546,0","2,0","0,0"
5/2020,Semarang Timur,"73.546,0","0,0","0,0"
6/2020,Semarang Timur,"73.546,0","0,0","0,0"
7/2020,Semarang Timur,"73.546,0","0,0","0,0"
8/2020,Semarang Timur,"73.546,0","0,0","0,0"
9/2020,Semarang Timur,"73.546,0","1,0","0,0"
10/2020,Semarang Timur,"73.546,0","0,0","0,0"
11/2020,Semarang Timur,"73.546,0","0,0","0,0"
12/2020,Semarang Timur,"73.546,0","0,0","0,0"
1/2020,Semarang Utara,"126.148,0","0,0","0,0"
2/2020,Semarang Utara,"126.148,0","2,0","0,0"
3/2020,Semarang Utara,"126.148,0","3,0","0,0"
4/2020,Semarang Utara,"126.148,0","5,0","0,0"
5/2020,Semarang Utara,"126.148,0","2,0","0,0"
6/2020,Semarang Utara,"126.148,0","2,0","0,0"
7/2020,Semarang Utara,"126.148,0","2,0","0,0"
8/2020,Semarang Utara,"126.148,0","2,0","0,0"
9/2020,Semarang Utara,"126.148,0","0,0","0,0"
10/2020,Semarang Utara,"126.148,0","0,0","0,0"
11/2020,Semarang Utara,"126.148,0","0,0","0,0"
12/2020,Semarang Utara,"126.148,0","0,0","0,0"
1/2020,Tembalang,"178.914,0","4,0","0,0"
2/2020,Tembalang,"178.914,0","7,0","0,0"
3/2020,Tembalang,"178.914,0","22,0","0,0"
4/2020,Tembalang,"178.914,0","12,0","0,0"
5/2020,Tembalang,"178.914,0","9,0","0,0"
6/2020,Tembalang,"178.914,0","2,0","0,0"
7/2020,Tembalang,"178.914,0","1,0","0,0"
8/2020,Tembalang,"178.914,0","2,0","0,0"
9/2020,Tembalang,"178.914,0","2,0","1,0"
10/2020,Tembalang,"178.914,0","1,0","0,0"
11/2020,Tembalang,"178.914,0","1,0","0,0"
12/2020,Tembalang,"178.914,0","1,0","0,0"
1/2020,Tugu,"33.634,0","1,0","0,0"
2/2020,Tugu,"33.634,0","2,0","0,0"
3/2020,Tugu,"33.634,0","0,0","0,0"
4/2020,Tugu,"33.634,0","0,0","0,0"
5/2020,Tugu,"33.634,0","0,0","0,0"
6/2020,Tugu,"33.634,0","0,0","0,0"
7/2020,Tugu,"33.634,0","0,0","0,0"
8/2020,Tugu,"33.634,0","1,0","0,0"
9/2020,Tugu,"33.634,0","0,0","0,0"
10/2020,Tugu,"33.634,0","0,0","0,0"
11/2020,Tugu,"33.634,0","0,0","0,0"
12/2020,Tugu,"33.634,0","0,0","0,0"
1/2021,Banyumanik,"139.846,0","4,0","1,0"
2/2021,Banyumanik,"139.846,0","5,0","0,0"
3/2021,Banyumanik,"139.846,0","4,0","0,0"
4/2021,Banyumanik,"139.846,0","3,0","0,0"
5/2021,Banyumanik,"139.846,0","3,0","0,0"
6/2021,Banyumanik,"139.846,0","3,0","0,0"
7/2021,Banyumanik,"139.846,0","1,0","0,0"
8/2021,Banyumanik,"139.846,0","2,0","0,0"
9/2021,Banyumanik,"139.846,0","8,0","0,0"
10/2021,Banyumanik,"139.846,0","2,0","0,0"
11/2021,Banyumanik,"139.846,0","13,0","0,0"
12/2021,Banyumanik,"139.846,0","14,0","1,0"
1/2021,Candisari,"80.625,0","0,0","0,0"
2/2021,Candisari,"80.625,0","2,0","0,0"
3/2021,Candisari,"80.625,0","0,0","0,0"
4/2021,Candisari,"80.625,0","1,0","0,0"
5/2021,Candisari,"80.625,0","0,0","0,0"
6/2021,Candisari,"80.625,0","0,0","0,0"
7/2021,Candisari,"80.625,0","0,0","0,0"
8/2021,Candisari,"80.625,0","2,0","0,0"
9/2021,Candisari,"80.625,0","0,0","0,0"
10/2021,Candisari,"80.625,0","0,0","0,0"
11/2021,Candisari,"80.625,0","2,0","0,0"
12/2021,Candisari,"80.625,0","3,0","0,0"
1/2021,Gajah Mungkur,"60.243,0","0,0","0,0"
2/2021,Gajah Mungkur,"60.243,0","0,0","0,0"
3/2021,Gajah Mungkur,"60.243,0","1,0","0,0"
4/2021,Gajah Mungkur,"60.243,0","3,0","0,0"
