periode,kecamatan,jumlah_penduduk,kasus,kasus_meninggal
4/2016,Pedurungan,"204.565,0","7,0","2,0"
5/2016,Pedurungan,"204.565,0","8,0","0,0"
6/2016,Pedurungan,"204.565,0","8,0","0,0"
7/2016,Pedurungan,"204.565,0","6,0","0,0"
8/2016,Pedurungan,"204.565,0","1,0","0,0"
9/2016,Pedurungan,"204.565,0","3,0","0,0"
10/2016,Pedurungan,"204.565,0","3,0","0,0"
11/2016,Pedurungan,"204.565,0","4,0","0,0"
12/2016,Pedurungan,"204.565,0","0,0","0,0"
1/2016,Semarang Barat,"176.534,0","5,0","0,0"
2/2016,Semarang Barat,"176.534,0","1,0","0,0"
3/2016,Semarang Barat,"176.534,0","1,0","0,0"
4/2016,Semarang Barat,"176.534,0","4,0","1,0"
5/2016,Semarang Barat,"176.534,0","1,0","0,0"
6/2016,Semarang Barat,"176.534,0","2,0","0,0"
7/2016,Semarang Barat,"176.534,0","0,0","0,0"
8/2016,Semarang Barat,"176.534,0","4,0","1,0"
9/2016,Semarang Barat,"176.534,0","0,0","0,0"
10/2016,Semarang Barat,"176.534,0","4,0","0,0"
11/2016,Semarang Barat,"176.534,0","1,0","0,0"
12/2016,Semarang Barat,"176.534,0","2,0","1,0"
1/2016,Semarang Selatan,"84.164,0","2,0","0,0"
2/2016,Semarang Selatan,"84.164,0","7,0","0,0"
3/2016,Semarang Selatan,"84.164,0","1,0","0,0"
4/2016,Semarang Selatan,"84.164,0","2,0","0,0"
5/2016,Semarang Selatan,"84.164,0","1,0","0,0"
6/2016,Semarang Selatan,"84.164,0","1,0","0,0"
7/2016,Semarang Selatan,"84.164,0","0,0","0,0"
8/2016,Semarang Selatan,"84.164,0","2,0","0,0"
9/2016,Semarang Selatan,"84.164,0","0,0","0,0"
10/2016,Semarang Selatan,"84.164,0","1,0","0,0"
11/2016,Semarang Selatan,"84.164,0","2,0","0,0"
12/2016,Semarang Selatan,"84.164,0","5,0","0,0"
1/2016,Semarang Tengah,"69.546,0","2,0","0,0"
2/2016,Semarang Tengah,"69.546,0","1,0","0,0"
3/2016,Semarang Tengah,"69.546,0","1,0","0,0"
4/2016,Semarang Tengah,"69.546,0","0,0","0,0"
5/2016,Semarang Tengah,"69.546,0","3,0","1,0"
6/2016,Semarang Tengah,"69.546,0","0,0","0,0"
7/2016,Semarang Tengah,"69.546,0","2,0","0,0"
8/2016,Semarang Tengah,"69.546,0","0,0","0,0"
9/2016,Semarang Tengah,"69.546,0","0,0","0,0"
10/2016,Semarang Tengah,"69.546,0","4,0","0,0"
11/2016,Semarang Tengah,"69.546,0","1,0","0,0"
12/2016,Semarang Tengah,"69.546,0","0,0","0,0"
1/2016,Semarang Timur,"82.016,0","0,0","0,0"
2/2016,Semarang Timur,"82.016,0","2,0","0,0"
3/2016,Semarang Timur,"82.016,0","0,0","0,0"
4/2016,Semarang Timur,"82.016,0","3,0","0,0"
5/2016,Semarang Timur,"82.016,0","1,0","0,0"
6/2016,Semarang Timur,"82.016,0","0,0","0,0"
7/2016,Semarang Timur,"82.016,0","0,0","0,0"
8/2016,Semarang Timur,"82.016,0","0,0","0,0"
9/2016,Semarang Timur,"82.016,0","0,0","0,0"
10/2016,Semarang Timur,"82.016,0","2,0","0,0"
11/2016,Semarang Timur,"82.016,0","1,0","0,0"
12/2016,Semarang Timur,"82.016,0","1,0","0,0"
1/2016,Semarang Utara,"143.126,0","0,0","0,0"
2/2016,Semarang Utara,"143.126,0","1,0","0,0"
3/2016,Semarang Utara,"143.126,0","1,0","0,0"
